missing_transitions,learning_rounds,automaton_size,learning_time,smt_time,eq_oracle_time,total_time,queries_learning,successful_queries_learning,validity_query,nodes,informative_nodes,sul_steps,cache_saved,queries_eq_oracle,steps_eq_oracle,successful
30,274,16,113.08340978622437,798.9267411231995,0.060515642166137695,912.07066655159,4395,2255,267,4612,2689,45068,0,0,0,False
35,25,16,6.287018775939941,48.91752076148987,0.0056171417236328125,55.21015667915344,2471,2369,23,2517,2420,18763,0,0,0,True
30,319,16,98.17327213287354,869.5450479984283,0.087982177734375,967.8063023090363,3395,2407,311,3706,2890,32918,0,0,0,False
35,172,16,29.41988229751587,417.24335527420044,0.05423593521118164,446.7174735069275,2645,2322,165,2707,2424,20165,0,0,0,True
10,410,16,292.465615272522,2879.528398036957,0.1133263111114502,3172.10733962059,4580,2690,404,5446,3693,49575,0,0,0,False
40,67,16,15.780604124069214,137.56953477859497,0.044591665267944336,153.39473056793213,2394,2213,64,2455,2293,20479,0,0,0,True
40,175,16,37.58798360824585,325.7032415866852,0.02131199836730957,363.31253719329834,3223,2441,166,3481,2811,27243,0,0,0,False
35,216,16,51.32727885246277,1084.816519498825,0.07011771202087402,1136.2139160633087,2807,2417,208,2931,2618,20634,0,0,0,False
40,160,16,34.25413513183594,600.9553332328796,0.026508808135986328,635.2359771728516,3268,2437,152,3561,2827,28800,0,0,0,False
20,433,16,323.9147789478302,3039.0995264053345,0.13258624076843262,3363.146891593933,4316,2434,426,4955,3265,48773,0,0,0,False
35,173,16,37.51952910423279,1054.751181602478,0.08984112739562988,1092.3605518341064,2468,2157,163,2569,2298,16247,0,0,0,False
35,245,16,91.72911071777344,1245.325756072998,0.09928345680236816,1337.1541502475739,3217,2318,237,3413,2619,28750,0,0,0,False
40,262,16,158.1951150894165,738.0623469352722,0.0572967529296875,896.3147587776184,4512,2352,256,5320,3406,45173,0,0,0,False
40,276,16,73.78056597709656,919.9484124183655,0.0969247817993164,993.8259031772614,3443,2218,268,3708,2664,37679,0,0,0,False
40,211,16,86.2907190322876,669.8502151966095,0.0487675666809082,756.189701795578,4094,2256,206,4573,2895,45148,0,0,0,False
40,195,16,120.6819076538086,637.4767420291901,0.03856396675109863,758.1972136497498,4103,2350,189,4755,3185,40231,0,0,0,False
40,345,16,144.657639503479,832.1935343742371,0.06698465347290039,976.918158531189,4446,1918,337,5368,3172,46369,0,0,0,False
20,532,16,326.6480369567871,3900.203685760498,0.18979597091674805,4227.041518688202,4632,2576,524,5423,3586,42735,0,0,0,False
40,289,16,122.96017622947693,815.1588275432587,0.06661057472229004,938.1856143474579,4360,2100,279,5057,3064,41787,0,0,0,False
40,142,16,28.978991508483887,339.4665126800537,0.05651688575744629,368.50202107429504,2622,2298,137,2697,2406,21721,0,0,0,True
35,513,16,219.23824906349182,2376.649427652359,0.15249395370483398,2596.0401706695557,4566,2392,503,5138,3383,47545,0,0,0,False
20,489,16,364.2031602859497,4129.670923471451,0.20106124877929688,4494.07514500618,4270,2619,483,4868,3392,37250,0,0,0,False
40,342,16,122.77159690856934,1143.7572920322418,0.11572456359863281,1266.6446135044098,4066,2183,334,4404,2796,48473,0,0,0,False
45,212,16,66.47371673583984,626.2010071277618,0.0674293041229248,692.7421531677246,3070,2311,208,3249,2595,25587,0,0,0,False
35,410,16,270.8328251838684,2728.726354122162,0.15237998962402344,2999.7115592956543,4172,2350,402,4770,3170,37170,0,0,0,False
45,132,16,46.09087777137756,276.8845090866089,0.028452157974243164,323.0038390159607,3199,2276,124,3383,2546,29532,0,0,0,True
45,129,16,46.11308145523071,290.7266082763672,0.01993870735168457,336.8596284389496,3186,2271,122,3402,2596,29776,0,0,0,True
40,269,16,66.35123753547668,1090.4318854808807,0.05894041061401367,1156.8420634269714,3480,2075,261,3672,2524,29588,0,0,0,False
40,296,16,79.04111886024475,951.7986183166504,0.09218454360961914,1030.9319217205048,3201,2039,291,3421,2439,38658,0,0,0,False
40,332,16,115.91187691688538,1028.199594259262,0.06330490112304688,1144.1747760772705,4635,2110,324,5512,3270,51550,0,0,0,False
45,282,16,92.87123918533325,860.2810702323914,0.06666088104248047,953.2189702987671,4568,1999,272,5541,3203,49578,0,0,0,False
45,154,16,34.45786643028259,573.5968248844147,0.06257367134094238,608.1172649860382,2893,2434,144,3074,2658,21619,0,0,0,False
45,194,16,41.452951192855835,557.6217341423035,0.07662582397460938,599.1513111591339,2781,2348,189,2871,2508,30854,0,0,0,True
35,427,16,242.3597264289856,2786.348265647888,0.1686716079711914,3028.876663684845,4095,2398,421,4628,3165,44232,0,0,0,False
45,206,16,64.7938301563263,664.1025352478027,0.1111612319946289,729.0075266361237,3174,2399,196,3395,2715,31067,0,0,0,False
45,377,16,112.64148283004761,1310.5794146060944,0.11851024627685547,1423.3394076824188,3803,2381,372,4159,3000,44232,0,0,0,False
45,479,16,193.99594378471375,1599.1151099205017,0.18056988716125488,1793.2916235923767,4501,2188,469,5267,3278,44444,0,0,0,False
45,349,16,136.74526023864746,862.1109220981598,0.08039999008178711,998.936582326889,4284,2229,340,5024,3278,40186,0,0,0,False
50,125,16,19.85688042640686,176.40530014038086,0.019705533981323242,196.28188610076904,2656,2247,119,2759,2433,22621,0,0,0,True
45,286,16,80.97140336036682,818.7395932674408,0.06195378303527832,899.7729504108429,4054,2070,278,4578,2807,45828,0,0,0,False
45,431,16,157.01213765144348,979.513927936554,0.18999910354614258,1136.7160646915436,4101,2072,422,4469,2715,47764,0,0,0,False
45,270,16,85.03996348381042,1323.4935801029205,0.12819814682006836,1408.661741733551,3073,2340,260,3314,2703,28113,0,0,0,False
50,198,16,42.57709002494812,917.1313128471375,0.08877253532409668,959.7971754074097,2836,2248,188,3057,2560,24435,0,0,0,False
35,565,16,362.31315302848816,4631.923100948334,0.33298254013061523,4994.5692365169525,4683,2892,558,5344,3790,41721,0,0,0,False
40,519,16,315.2249376773834,3833.428959608078,0.3397691249847412,4148.993666410446,4761,2730,511,5495,3706,42883,0,0,0,False
50,347,16,109.11249375343323,1051.6779401302338,0.08030962944030762,1160.8707435131073,4722,2070,337,5610,3290,49254,0,0,0,False
50,417,16,214.3945722579956,1740.8815042972565,0.14905595779418945,1955.4251325130463,4321,2185,409,4876,3052,43109,0,0,0,False
50,342,16,57.84628987312317,1104.1956617832184,0.06569242477416992,1162.1076440811157,3877,2250,334,4320,2903,45537,0,0,0,False
50,208,16,68.49386405944824,770.7611773014069,0.04628467559814453,839.3013260364532,3769,2299,200,4359,3041,36128,0,0,0,False
45,552,16,220.59877252578735,2546.4941844940186,0.24662542343139648,2767.3395824432373,3675,2298,544,3984,2865,32228,0,0,0,False
50,399,16,133.9812364578247,1808.39009141922,0.19355463981628418,1942.564882516861,3475,2159,391,3814,2745,29651,0,0,0,False
50,482,16,194.3534655570984,1976.88147854805,0.19850373268127441,2171.4334478378296,4848,2347,472,5678,3528,57621,0,0,0,False
50,473,16,177.54112696647644,1826.5640332698822,0.29480457305908203,2004.3999648094177,3771,2795,464,3987,3075,37240,0,0,0,False
50,332,16,131.06262588500977,909.368880033493,0.07321882247924805,1040.504724740982,4838,1981,323,6050,3503,56192,0,0,0,False
50,497,16,196.97656774520874,2566.2588725090027,0.26994895935058594,2763.505389213562,4117,2089,488,4507,2798,51123,0,0,0,False
50,376,16,99.82396793365479,1132.0577425956726,0.07753133773803711,1231.9592418670654,4002,2222,366,4492,3003,47143,0,0,0,False
45,465,16,279.14095664024353,2864.759956598282,0.1955583095550537,3144.0964715480804,4272,2376,457,4803,3184,42766,0,0,0,False
50,396,16,162.09363079071045,965.0693366527557,0.08111953735351562,1127.2440869808197,4602,2071,386,5537,3362,44478,0,0,0,False
35,585,16,434.1079988479614,5951.5817840099335,0.41963815689086914,6386.109421014786,4878,2928,578,5598,3873,49199,0,0,0,False
50,252,16,120.20855331420898,763.640554189682,0.0616605281829834,883.910768032074,4251,2435,246,4953,3375,41682,0,0,0,False
50,362,16,124.76023530960083,1206.1145009994507,0.12224769592285156,1330.9969840049744,4464,2253,352,5173,3238,48304,0,0,0,False
50,431,16,104.53964495658875,1179.7422263622284,0.08918404579162598,1284.3710553646088,4985,1994,423,5967,3377,60200,0,0,0,False
45,455,16,318.5656340122223,4096.426365613937,0.2447969913482666,4415.236796617508,4300,2597,449,4940,3418,44237,0,0,0,False
30,749,16,471.02733993530273,8222.802808761597,0.3171224594116211,8694.147271156311,5518,3165,739,6482,4387,53830,0,0,0,False
40,945,16,468.0806736946106,8074.484389305115,0.3256518840789795,8542.890714883804,5877,3518,935,6627,4580,55000,0,0,0,False
